Origin,Day Transit,Zip Code
"Origin - Coppell, TX 75019",2,17626
"Origin - Coppell, TX 75019",2,17627
"Origin - Coppell, TX 75019",2,17628
"Origin - Coppell, TX 75019",2,17629
"Origin - Coppell, TX 75019",2,17630
"Origin - Coppell, TX 75019",2,17631
"Origin - Coppell, TX 75019",2,17632
"Origin - Coppell, TX 75019",2,17633
"Origin - Coppell, TX 75019",2,17634
"Origin - Coppell, TX 75019",2,17635
"Origin - Coppell, TX 75019",2,17636
"Origin - Coppell, TX 75019",2,17637
"Origin - Coppell, TX 75019",2,17638
"Origin - Coppell, TX 75019",2,17639
"Origin - Coppell, TX 75019",2,17640
"Origin - Coppell, TX 75019",2,17641
"Origin - Coppell, TX 75019",2,17642
"Origin - Coppell, TX 75019",2,17643
"Origin - Coppell, TX 75019",2,17644
"Origin - Coppell, TX 75019",2,17645
"Origin - Coppell, TX 75019",2,17646
"Origin - Coppell, TX 75019",2,17647
"Origin - Coppell, TX 75019",2,17648
"Origin - Coppell, TX 75019",2,17649
"Origin - Coppell, TX 75019",2,17650
"Origin - Coppell, TX 75019",2,17651
"Origin - Coppell, TX 75019",2,17652
"Origin - Coppell, TX 75019",2,17653
"Origin - Coppell, TX 75019",2,17654
"Origin - Coppell, TX 75019",2,17655
"Origin - Coppell, TX 75019",2,17656
"Origin - Coppell, TX 75019",2,17657
"Origin - Coppell, TX 75019",2,17658
"Origin - Coppell, TX 75019",2,17659
"Origin - Coppell, TX 75019",2,17660
"Origin - Coppell, TX 75019",2,17661
"Origin - Coppell, TX 75019",2,17662
"Origin - Coppell, TX 75019",2,17663
"Origin - Coppell, TX 75019",2,17664
"Origin - Coppell, TX 75019",2,17665
"Origin - Coppell, TX 75019",2,17666
"Origin - Coppell, TX 75019",2,17667
"Origin - Coppell, TX 75019",2,17668
"Origin - Coppell, TX 75019",2,17669
"Origin - Coppell, TX 75019",2,17670
"Origin - Coppell, TX 75019",2,17671
"Origin - Coppell, TX 75019",2,17672
"Origin - Coppell, TX 75019",2,17673
"Origin - Coppell, TX 75019",2,17674
"Origin - Coppell, TX 75019",2,17675
"Origin - Coppell, TX 75019",2,17676
"Origin - Coppell, TX 75019",2,17677
"Origin - Coppell, TX 75019",2,17678
"Origin - Coppell, TX 75019",2,17679
"Origin - Coppell, TX 75019",2,17680
"Origin - Coppell, TX 75019",2,17681
"Origin - Coppell, TX 75019",2,17682
"Origin - Coppell, TX 75019",2,17683
"Origin - Coppell, TX 75019",2,17684
"Origin - Coppell, TX 75019",2,17685
"Origin - Coppell, TX 75019",2,17686
"Origin - Coppell, TX 75019",2,17687
"Origin - Coppell, TX 75019",2,17688
"Origin - Coppell, TX 75019",2,17689
"Origin - Coppell, TX 75019",2,17690
"Origin - Coppell, TX 75019",2,17691
"Origin - Coppell, TX 75019",2,17692
"Origin - Coppell, TX 75019",2,17693
"Origin - Coppell, TX 75019",2,17694
"Origin - Coppell, TX 75019",2,17695
"Origin - Coppell, TX 75019",2,17696
"Origin - Coppell, TX 75019",2,17697
"Origin - Coppell, TX 75019",2,17698
"Origin - Coppell, TX 75019",2,17699
